1 qid:1 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:1 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:2 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:2 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:3 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:3 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:4 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:4 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:5 1:0.0 2:0.796117338651413 3:0.978723404255319 4:0.145125 5:0.633802816901408 6:2.8169014084507 7:1.0 
2 qid:5 1:0.0 2:0.966545666958261 3:0.986301369863014 4:0.2201 5:0.934210526315789 6:2.63157894736842 7:1.0 
1 qid:6 1:0.0 2:0.796117338651413 3:0.978723404255319 4:0.145125 5:0.633802816901408 6:2.8169014084507 7:1.0 
2 qid:6 1:0.0 2:0.966545666958261 3:0.986301369863014 4:0.2201 5:0.934210526315789 6:2.63157894736842 7:1.0 
1 qid:7 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:7 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:8 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:8 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
1 qid:9 1:0.0 2:0.796117338651413 3:0.978723404255319 4:0.145125 5:0.633802816901408 6:2.8169014084507 7:1.0 
2 qid:9 1:0.0 2:0.966545666958261 3:0.986301369863014 4:0.2201 5:0.934210526315789 6:2.63157894736842 7:1.0 
1 qid:10 1:0.0 2:0.796117338651413 3:0.978723404255319 4:0.145125 5:0.633802816901408 6:2.8169014084507 7:1.0 
2 qid:10 1:0.0 2:0.966545666958261 3:0.986301369863014 4:0.2201 5:0.934210526315789 6:2.63157894736842 7:1.0 
1 qid:11 1:0.768746807986463 2:0.789352217376326 3:0.884615384615385 4:0.14375 5:0.615384615384615 6:2.76923076923077 7:0.851851851851852 
2 qid:11 1:0.0 2:0.966545666958261 3:0.923076923076923 4:0.2201 5:0.929577464788732 6:2.63157894736842 7:0.898000815993472 
1 qid:12 1:0.768746807986463 2:0.789352217376326 3:0.884615384615385 4:0.14375 5:0.615384615384615 6:2.76923076923077 7:0.851851851851852 
2 qid:12 1:0.0 2:0.966545666958261 3:0.923076923076923 4:0.2201 5:0.929577464788732 6:2.63157894736842 7:0.898000815993472 
1 qid:13 1:0.0 2:0.734488722997519 3:0.976744186046512 4:0.1271 5:0.539473684210526 6:2.63157894736842 7:1.0 
2 qid:13 1:0.808379434059028 2:0.863735512521787 3:0.840579710144927 4:0.176125 5:0.723076923076923 6:2.61768082663605 7:0.778883360972913 
