Name	UserRank	AHPRank	SVMRank
"{33,35,78,84,87} => {80}"	1575	1510	1619
"{33,52,78,84} => {69}"	922	919	1028
"{52,56,60,69,78,80,84,87} => {35}"	709	795	736
"{56,78,80,94} => {69}"	207	201	444
"{52,56,69,78,80,94} => {87}"	1393	1339	1448
"{35,52,69,78,80,84,87,94} => {33}"	1588	1523	1632
"{56,60,78,80,84} => {87}"	789	692	896
"{33,35,78,94} => {56}"	1322	1272	1381
"{35,56,78,94} => {87}"	1625	1558	1667
"{35,52,69,84,87} => {33}"	912	910	1019
"{35,52,78,84,87} => {33}"	1582	1517	1626
"{1,21,33,52,56,84,94} => {38}"	495	586	215
"{1,21,33,35,69,80,84,94} => {38}"	534	625	254
"{33,52,78,87,94} => {35}"	176	97	97
"{33,94} => {87}"	214	205	448
"{33,35,56,80,84,87} => {69}"	1263	1220	1329
"{33,60,69,80,84} => {87}"	803	701	905
"{33,52,56,69,80} => {78}"	970	959	1068
"{33,69,80,84,94} => {87}"	246	228	471
"{60,78,80,87} => {56}"	819	712	916
"{21,33,69} => {56}"	1185	1150	1259
"{33,35,52,78,84,87} => {80}"	1046	1027	1136
"{33,35,80,84,94} => {56}"	1653	1579	1688
"{35,56,69,78,80} => {33}"	1395	1340	1449
"{33,35,56,69,78,84,94} => {87}"	1673	1594	1703
"{33,35,52,78,80,94} => {69}"	1556	1491	1600
"{33,52,56,78,84} => {94}"	426	362	672
"{35,52,56,69,84,94} => {80}"	1438	1383	1492
"{80} => {56}"	66	132	132
"{33,35,87,94} => {78}"	1435	1380	1489
"{21,35,80,84,87} => {52}"	658	439	560
"{33,35,80,84,87} => {56}"	1264	1221	1330
"{21,78,80,94} => {84}"	1321	1271	1380
"{33,52,56,80,84,87} => {69}"	1131	1104	1213
"{1,21,35,52,78,80,87,94} => {38}"	482	573	202
"{21,69,78,87,94} => {33}"	1398	1343	1452
"{52,56,69,94} => {35}"	29	15	15
"{21,33,52,56,84,87,94} => {35}"	649	430	551
"{33,52,56,78,84,87} => {69}"	903	903	1012
"{52,94} => {80}"	1024	1008	1117
"{33,35,56,69,78} => {94}"	380	338	648
"{33,56,60,84,87} => {69}"	793	696	900
"{60,80} => {84}"	832	721	925
"{33,52,69,78,84} => {80}"	1114	1090	1199
"{35,52} => {87}"	1399	1344	1453
"{60,80,84} => {33}"	900	777	981
"{21,52,78,87,94} => {35}"	650	431	552
"{33,35,69,78,80,84} => {56}"	981	969	1078
"{56,78,80,84,87,94} => {52}"	335	496	368
