Name	UserRank	AHPRank	SVMRank
"{33,80,87} => {56}"	22	123	123
"{35,56,69,78,80,84} => {52}"	144	67	67
"{33,52} => {35}"	207	101	101
"{33,69,80,87} => {84}"	41	133	133
"{33,35,56,80,84,87,94} => {52}"	108	51	51
"{33,35,78,80,84,87} => {52}"	184	90	90
"{33,35,78,80} => {52}"	160	76	76
"{52,56,87,94} => {35}"	194	96	96
"{52,80,87} => {35}"	38	18	18
"{33,35,56,80,87,94} => {52}"	124	60	60
"{33,52,56,69,78,80,84,87,94} => {35}"	171	84	84
"{78,84} => {33}"	11	117	117
"{35,69,84,94} => {52}"	19	8	8
"{52,56,69,87,94} => {35}"	150	71	71
"{33,35,69} => {52}"	113	55	55
"{33,78,84,87} => {69}"	1	111	111
"{69,78,80} => {84}"	65	145	145
"{52,78,80} => {35}"	101	48	48
"{35,56,69,78,80,87,94} => {52}"	87	40	40
"{84,87} => {69}"	39	131	131
"{35,56,78,87} => {52}"	137	63	63
"{52,69,78,87} => {35}"	47	22	22
"{52,69,78,80,84,94} => {35}"	110	53	53
"{33,52,69,78,80,94} => {35}"	43	20	20
"{33,35,69,78,84,87,94} => {52}"	31	14	14
"{33,56,69,80} => {78}"	27	126	126
"{56,80,84,87} => {69}"	20	122	122
"{80,84,87} => {56}"	63	143	143
"{33,35,56,69,84,87,94} => {52}"	145	68	68
"{33,52,69,78,80,87} => {35}"	140	64	64
"{33,52,69,78,80} => {35}"	2	1	1
"{33,35,80,87} => {52}"	142	66	66
"{56,78,80,84} => {33}"	9	115	115
"{33,35,56,69,84} => {52}"	172	85	85
"{33,35,56,69,84,87} => {52}"	118	58	58
"{35,56,78,84,87} => {52}"	153	73	73
"{33,52,56,69,94} => {35}"	61	29	29
"{33,35,69,80,87} => {52}"	72	33	33
"{33,56,80,84} => {78}"	59	141	141
"{33,80,84} => {87}"	8	114	114
"{78,80} => {84}"	45	135	135
"{33,87} => {84}"	77	152	152
"{33,52,69,80,84} => {35}"	25	11	11
"{56,87} => {69}"	58	140	140
"{35,80,84,87} => {52}"	6	4	4
"{33,35,56,87} => {52}"	162	78	78
"{80,84} => {87}"	64	144	144
"{56,69} => {33}"	93	160	160
"{52,56,69,78,87,94} => {35}"	62	30	30
"{80} => {69}"	14	119	119
"{52,56,69,80,87,94} => {35}"	36	16	16
"{52,56,69,80} => {35}"	166	81	81
"{35,56,78,84,94} => {52}"	121	59	59
"{33,78,80,84} => {69}"	15	120	120
"{52,56,69,80,94} => {35}"	70	32	32
"{33,56,78,84} => {87}"	10	116	116
"{52,78,87,94} => {35}"	73	34	34
"{52,56,69,80,84,94} => {35}"	86	39	39
"{33,56,69,80} => {87}"	24	124	124
"{69,80,87} => {78}"	79	153	153
"{33,52,56,78,80,84,87} => {35}"	211	104	104
"{33,52,69,78,94} => {35}"	136	62	62
"{33,69,78} => {80}"	66	146	146
"{35,56,78,94} => {52}"	75	35	35
"{33,52,80,87,94} => {35}"	149	70	70
"{33,35,80,84} => {52}"	197	98	98
"{33,52,56,80} => {35}"	5	3	3
"{33,52,69,80,94} => {35}"	127	61	61
"{35,69,78,80,84,94} => {52}"	98	47	47
"{35,69,94} => {52}"	106	50	50
"{33,52,80,87} => {35}"	215	106	106
"{52,56,78,94} => {35}"	46	21	21
"{35,80,84,87,94} => {52}"	185	91	91
"{33,35,56,69,80,84,87} => {52}"	112	54	54
"{78,80} => {56}"	52	139	139
"{33,52,69,78,84,94} => {35}"	173	86	86
"{56,69} => {78}"	74	150	150
"{52,69,87,94} => {35}"	217	108	108
"{33,69,84} => {78}"	44	134	134
"{33,35,78,94} => {52}"	219	110	110
"{52,56,84} => {35}"	163	79	79
"{69,78,84} => {80}"	81	155	155
"{33,56} => {69}"	32	128	128
"{35,78,84} => {52}"	18	7	7
"{33,69,78,84} => {87}"	71	149	149
"{33,52,69,80,84,94} => {35}"	53	24	24
"{33,52,56,94} => {35}"	208	102	102
"{33,69,78,87} => {80}"	40	132	132
"{56,78,80} => {87}"	89	158	158
"{33,52,69,78,87} => {35}"	213	105	105
"{33,35,84,94} => {52}"	182	89	89
"{33,35,69,80,84,87,94} => {52}"	114	56	56
"{33,56,78,80,84} => {69}"	7	113	113
"{69,78} => {80}"	3	112	112
"{52,56,78,80,87} => {35}"	96	46	46
"{35,56,80} => {52}"	176	87	87
"{33,52,56,69,78} => {35}"	105	49	49
"{52,69,78,80,84} => {35}"	78	36	36
"{33,52,56,78,80,87,94} => {35}"	199	99	99
"{33,52,56,69,84} => {35}"	192	94	94
"{33,52,56,69,80,84} => {35}"	4	2	2
"{35,56,69,78,80,87} => {52}"	196	97	97
"{33,35,80,84,87,94} => {52}"	115	57	57
"{52,69} => {35}"	161	77	77
"{56,84} => {33}"	49	137	137
"{33,78} => {56}"	17	121	121
"{33,35,56,69,80,84,94} => {52}"	156	74	74
"{33,35,56,69,78,80,87} => {52}"	51	23	23
"{52,69,84,87,94} => {35}"	91	42	42
"{33,35,78,87,94} => {52}"	56	27	27
"{33,52,78,80,94} => {35}"	209	103	103
"{33,69} => {84}"	26	125	125
"{35,78,94} => {52}"	169	83	83
"{78,87} => {56}"	48	136	136
"{35,69,78,80,84} => {52}"	147	69	69
"{52,69,78,80,94} => {35}"	34	15	15
"{33,69,87} => {78}"	90	159	159
"{52,69,78,80,87,94} => {35}"	16	6	6
"{33,35,56,80,84} => {52}"	167	82	82
"{56,69,84,87} => {78}"	68	148	148
"{33,52,94} => {35}"	29	13	13
"{33,52,69,84,94} => {35}"	54	25	25
"{33,52,56,69,80,87} => {35}"	85	38	38
"{35,56,84,87} => {52}"	186	92	92
"{35,56,80,84} => {52}"	164	80	80
"{35,56,78,80,84,87} => {52}"	218	109	109
"{35,56} => {52}"	84	37	37
"{69,78,80,84,87} => {33}"	82	156	156
"{56,69,78,80,84,87} => {33}"	83	157	157
"{35,56,84,87,94} => {52}"	28	12	12
"{33,52,69,94} => {35}"	152	72	72
"{56,80} => {84}"	35	130	130
"{33,78,80,87} => {56}"	67	147	147
"{33,84} => {56}"	60	142	142
"{33,52,56,78,87} => {35}"	216	107	107
"{35,56,69,78,80,84,87} => {52}"	69	31	31
"{33,69,78,84} => {80}"	80	154	154
"{69,78,84,87} => {56}"	13	118	118
"{52,56,78,84} => {35}"	177	88	88
"{52,69,78} => {35}"	12	5	5
"{33,52,80} => {35}"	193	95	95
"{52,80,84} => {35}"	94	44	44
"{33,35,56,78,84,87} => {52}"	42	19	19
"{33,35,69,78,80,84,87} => {52}"	88	41	41
"{33,69,78,84} => {56}"	30	127	127
"{33,35,78,84,94} => {52}"	205	100	100
"{33,35,80,84,87} => {52}"	141	65	65
"{33,35,56,69,78,84,94} => {52}"	57	28	28
"{33,56,80,84} => {69}"	76	151	151
"{35,56,69,80} => {52}"	92	43	43
"{33,35,78,84} => {52}"	37	17	17
"{52,80,94} => {35}"	109	52	52
"{33,35,56,69,87} => {52}"	21	9	9
"{33,35,69,94} => {52}"	55	26	26
"{33,52,84,87,94} => {35}"	23	10	10
"{33,35,78,84,87,94} => {52}"	158	75	75
"{52,69,94} => {35}"	95	45	45
"{35,56,69,78,80,84,87,94} => {52}"	187	93	93
"{69,78,84} => {87}"	33	129	129
"{56,69,84,87} => {80}"	50	138	138
