Name	UserRank	AHPRank	SVMRank
"{0,32,5} => {6}"	5	5	8
"{19,20,22} => {10}"	30	39	51
"{17,2} => {15}"	1	1	7
"{17,20} => {31}"	15	38	45
"{20,6} => {5}"	6	4	4
"{17,8} => {15}"	7	12	23
"{19,2} => {1}"	23	24	36
"{22,5} => {6}"	36	26	14
"{22,32,6} => {0}"	51	32	31
"{17,19,2,8} => {15}"	46	30	27
"{34,5} => {6}"	22	14	15
"{31} => {17}"	12	33	35
"{0,20} => {5}"	13	11	9
"{0,22,6} => {5}"	40	29	22
"{17,2,20} => {15}"	3	3	1
"{0,34} => {6}"	18	13	13
"{2,31,8} => {15}"	21	17	24
"{0,20,32} => {5}"	19	15	12
"{20,32,5} => {0}"	26	22	16
"{34,6} => {5}"	33	20	18
"{0,32} => {6}"	8	8	6
"{34,5,6} => {0}"	35	25	29
"{17,31,8} => {15}"	43	35	34
"{0,22,32} => {6}"	41	27	25
"{2,20,31,8} => {15}"	31	23	20
"{32,6} => {0}"	4	7	11
"{32,5} => {6}"	10	9	3
"{0,32,6} => {5}"	11	10	5
"{17,20,8} => {15}"	17	16	32
"{22,6} => {0}"	24	18	26
"{0,20,5} => {6}"	9	6	10
"{0,22} => {5}"	39	28	21
"{0,34} => {5}"	34	21	19
"{17,2,31,32} => {15}"	47	31	28
"{17,2,31,32,8} => {15}"	58	37	30
"{17,20,22} => {19}"	25	40	44
"{6} => {5}"	2	2	2
"{0,34,6} => {5}"	32	19	17
"{17,32,8} => {15}"	42	34	33
"{20,31} => {17}"	14	36	41
