Name	UserRank	AHPRank	SVMRank
"{0,32,5} => {6}"	5	5	6
"{19,20,22} => {10}"	30	39	50
"{17,2} => {15}"	1	1	5
"{17,20} => {31}"	15	34	45
"{20,6} => {5}"	6	4	3
"{17,8} => {15}"	7	12	24
"{19,2} => {1}"	23	26	36
"{22,5} => {6}"	36	25	15
"{22,32,6} => {0}"	51	35	30
"{17,19,2,8} => {15}"	46	31	28
"{34,5} => {6}"	22	15	14
"{31} => {17}"	12	30	35
"{0,20} => {5}"	13	11	10
"{0,22,6} => {5}"	40	29	22
"{17,2,20} => {15}"	3	3	1
"{0,34} => {6}"	18	13	12
"{2,31,8} => {15}"	21	17	25
"{22} => {19}"	16	40	62
"{0,20,32} => {5}"	19	14	13
"{20,32,5} => {0}"	26	19	16
"{34,6} => {5}"	33	21	18
"{0,32} => {6}"	8	8	8
"{34,5,6} => {0}"	35	24	27
"{17,31,8} => {15}"	43	37	34
"{0,22,32} => {6}"	41	27	23
"{2,20,31,8} => {15}"	31	23	20
"{32,6} => {0}"	4	6	11
"{32,5} => {6}"	10	9	4
"{0,32,6} => {5}"	11	10	7
"{17,20,8} => {15}"	17	16	32
"{22,6} => {0}"	24	18	26
"{0,20,5} => {6}"	9	7	9
"{0,22} => {5}"	39	28	21
"{0,34} => {5}"	34	22	19
"{17,2,31,32} => {15}"	47	32	29
"{17,2,31,32,8} => {15}"	58	38	31
"{6} => {5}"	2	2	2
"{0,34,6} => {5}"	32	20	17
"{17,32,8} => {15}"	42	36	33
"{20,31} => {17}"	14	33	40
