Name	UserRank	AHPRank	SVMRank
"{33,52,78,87,94} => {35}"	176	97	97
"{80} => {56}"	66	132	132
"{52,56,69,94} => {35}"	29	15	15
"{33,52,78,84} => {35}"	179	100	100
"{52,56,78,84,94} => {35}"	180	101	101
"{35,69,84} => {52}"	7	2	2
"{35,56,87,94} => {52}"	104	54	54
"{52,56,78,80} => {35}"	143	80	80
"{33,84} => {69}"	85	141	141
"{33,52,69,78,87} => {35}"	163	91	91
"{33,78,80,87} => {84}"	108	152	152
"{33,35,56,69,78,94} => {52}"	38	22	22
"{33,35,56,69,78,80,87} => {52}"	73	38	38
"{33,35,56,78} => {52}"	137	76	76
"{56,80} => {33}"	48	122	122
"{35,56,84,87} => {52}"	102	53	53
"{33,35,56,69,78,87} => {52}"	6	1	1
"{33,52,78,87} => {35}"	58	33	33
"{33,56,84,87} => {78}"	55	125	125
"{56,78,84,87} => {33}"	19	113	113
"{35,69,78,87,94} => {52}"	173	95	95
"{33,56,69} => {84}"	72	136	136
"{52,56,69,84} => {35}"	52	31	31
"{35,56,69,87,94} => {52}"	172	94	94
"{52,56,84,94} => {35}"	37	21	21
"{33,35,78,84,87} => {52}"	33	19	19
"{33,69} => {80}"	90	144	144
"{33,78,80,87} => {56}"	53	123	123
"{78,87} => {56}"	3	104	104
"{33,35,78,84} => {52}"	114	61	61
"{33,35,69,78,84,87} => {52}"	109	58	58
"{52,56,69,84,94} => {35}"	44	25	25
"{35,56,69,78,80} => {52}"	13	5	5
"{33,56,78} => {80}"	76	138	138
"{33,35,56,69,78,87,94} => {52}"	79	41	41
"{35,56,80} => {52}"	149	83	83
"{33,69,78} => {80}"	93	146	146
"{33,35,56,78,80,87,94} => {52}"	87	46	46
"{69,80,84} => {56}"	45	121	121
"{33,35,56} => {52}"	171	93	93
"{33,52,69,80,94} => {35}"	80	42	42
"{52,80,87,94} => {35}"	68	37	37
"{56,84} => {69}"	83	140	140
"{78,80,84,87} => {69}"	70	134	134
"{35,56,80,87} => {52}"	47	27	27
"{33,69,78,80} => {56}"	91	145	145
"{33,52,69,80,84} => {35}"	74	39	39
"{33,52,78,80,84,87,94} => {35}"	21	9	9
"{52,56,80,84,87,94} => {35}"	49	28	28
"{56,78,87} => {80}"	15	110	110
"{69,78} => {33}"	116	155	155
"{35,56,69,78,84,94} => {52}"	23	10	10
"{33,52,56,78,84} => {35}"	145	81	81
"{52,56,78,80,84,87} => {35}"	178	99	99
"{33,35,69,78,94} => {52}"	121	64	64
"{52,56,69,78,84,94} => {35}"	60	35	35
"{33,87} => {69}"	71	135	135
"{56,84,87} => {33}"	99	149	149
"{52,56,69,78,80} => {35}"	32	18	18
"{33,56,80,84} => {87}"	42	120	120
"{35,78,94} => {52}"	31	17	17
"{33,52,56,80,84} => {35}"	12	4	4
"{52,78,80,87} => {35}"	168	92	92
"{33,52,69,87} => {35}"	98	51	51
"{35,56,69,80,84} => {52}"	135	74	74
"{69,80} => {33}"	41	119	119
"{33,35,56,69,78,80,84,87,94} => {52}"	125	67	67
"{33,52,56,84,87} => {35}"	119	63	63
"{35,69,80,94} => {52}"	105	55	55
