Name	UserRank	AHPRank	SVMRank
"{33,52,78,84} => {69}"	922	919	1028
"{52,56,60,69,78,80,84,87} => {35}"	709	795	736
"{56,78,80,94} => {69}"	207	201	444
"{52,56,69,78,80,94} => {87}"	1393	1339	1448
"{56,60,78,80,84} => {87}"	789	692	896
"{33,35,78,94} => {56}"	1322	1272	1381
"{35,52,69,84,87} => {33}"	912	910	1019
"{1,21,33,52,56,84,94} => {38}"	495	586	215
"{1,21,33,35,69,80,84,94} => {38}"	534	625	254
"{33,52,78,87,94} => {35}"	176	97	97
"{33,94} => {87}"	214	205	448
"{33,35,56,80,84,87} => {69}"	1263	1220	1329
"{33,60,69,80,84} => {87}"	803	701	905
"{33,52,56,69,80} => {78}"	970	959	1068
"{33,69,80,84,94} => {87}"	246	228	471
"{60,78,80,87} => {56}"	819	712	916
"{21,33,69} => {56}"	1185	1150	1259
"{33,35,52,78,84,87} => {80}"	1046	1027	1136
"{35,56,69,78,80} => {33}"	1395	1340	1449
"{33,35,52,78,80,94} => {69}"	1556	1491	1600
"{33,52,56,78,84} => {94}"	426	362	672
"{35,52,56,69,84,94} => {80}"	1438	1383	1492
"{80} => {56}"	66	132	132
"{33,35,87,94} => {78}"	1435	1380	1489
"{1,84,87} => {38}"	2167	3383	989
"{21,35,80,84,87} => {52}"	658	439	560
"{33,35,80,84,87} => {56}"	1264	1221	1330
"{56,69,78,80} => {21}"	1540	1750	877
"{21,78,80,94} => {84}"	1321	1271	1380
"{33,52,56,80,84,87} => {69}"	1131	1104	1213
"{1,21,35,52,78,80,87,94} => {38}"	482	573	202
"{21,69,78,87,94} => {33}"	1398	1343	1452
"{52,56,69,94} => {35}"	29	15	15
"{21,33,52,56,84,87,94} => {35}"	649	430	551
"{33,52,56,78,84,87} => {69}"	903	903	1012
"{52,94} => {80}"	1024	1008	1117
"{33,35,56,69,78} => {94}"	380	338	648
"{33,56,60,84,87} => {69}"	793	696	900
"{60,80} => {84}"	832	721	925
"{33,52,69,78,84} => {80}"	1114	1090	1199
"{35,52} => {87}"	1399	1344	1453
"{60,80,84} => {33}"	900	777	981
"{21,52,78,87,94} => {35}"	650	431	552
"{33,35,69,78,80,84} => {56}"	981	969	1078
"{56,78,80,84,87,94} => {52}"	335	496	368
"{21,33,69,78,84} => {94}"	356	320	630
"{21,33,78,87,94} => {69}"	1478	1418	1527
"{33,52,78,80,84,94} => {56}"	1384	1330	1439
"{69,78,84} => {60}"	821	885	703
"{21,33,80,84,94} => {69}"	1198	1162	1271
"{52,78,80,84,87} => {69}"	941	935	1044
"{35,56,80,87} => {84}"	1527	1465	1574
"{52,60,69,78,84} => {35}"	726	812	753
"{33,35,56,78,80,84,94} => {69}"	1088	1066	1175
"{52,56,87,94} => {80}"	1379	1326	1435
"{21,33,56,78,84,94} => {80}"	1460	1402	1511
"{33,52,78,84} => {35}"	179	100	100
"{33,80,84,87,94} => {21}"	430	537	409
"{21,33,69,78,84,87,94} => {56}"	1407	1352	1461
"{35,56,69,84} => {78}"	946	938	1047
"{33,60,69,84,87} => {80}"	883	762	966
"{21,56,78,84,87,94} => {33}"	1259	1216	1325
"{56,87,94} => {35}"	312	487	359
"{21,33,56,69,80,87,94} => {78}"	1141	1114	1223
"{33,78,94} => {87}"	183	183	426
"{33,56,78} => {60}"	837	889	707
"{56,78,87,94} => {21}"	344	502	374
"{1,21,35,52,56,69,80} => {38}"	518	609	238
"{1,21,52,69,78,84,87} => {38}"	541	632	261
"{33,52,80,94} => {87}"	1021	1005	1114
"{33,35,69,84} => {56}"	1535	1473	1582
"{56,60,69,78,87} => {33}"	856	741	945
"{52,56,78,84,94} => {35}"	180	101	101
"{21,56,80,94} => {69}"	999	985	1094
"{35,69,84} => {52}"	7	2	2
"{33,56,78,80,84,87,94} => {35}"	462	553	425
"{56,80,94} => {35}"	444	544	416
"{35,56,87,94} => {52}"	104	54	54
"{35,84,94} => {56}"	1416	1361	1470
"{33,35,69,80,87,94} => {56}"	1032	1015	1124
"{33,56,78,84} => {94}"	255	279	340
"{35,56,78,87,94} => {33}"	1427	1372	1481
"{33,52,56,60,69,84,94} => {35}"	737	823	764
"{52,56,78,80} => {35}"	143	80	80
"{21,78,87,94} => {80}"	1543	1480	1589
"{1,21,33,52,56,69,80,84,94} => {38}"	540	631	260
"{33,52,56,78,80,87} => {84}"	1202	1165	1274
"{21,80,87} => {94}"	345	315	625
"{35,52,56,80,84,94} => {33}"	1334	1283	1392
"{35,52,80} => {87}"	1350	1298	1407
"{56,80,84,87} => {21}"	1487	1748	875
"{1,21,33,52} => {38}"	475	566	195
"{35,69,78,80,94} => {84}"	1042	1023	1132
"{33,52,56,60,87} => {35}"	775	861	802
"{21,78,84} => {69}"	1315	1265	1374
"{33,84} => {69}"	85	141	141
"{33,56,69,78,80} => {60}"	871	896	714
"{52,56,69,84,94} => {78}"	973	961	1070
"{52,56,78,84} => {69}"	1145	1117	1226
"{33,52,69,84,87,94} => {78}"	1276	1231	1340
"{35,52,56,69,78,84} => {33}"	975	963	1072
"{60,69,80,87} => {56}"	895	773	977
"{69,80,87} => {94}"	234	274	335
"{56,78,84} => {52}"	947	1696	823
"{33,52,69,78,87} => {35}"	163	91	91
"{33,56,69,78,84,87,94} => {52}"	442	543	415
"{33,69,84,87,94} => {56}"	253	235	478
"{21,33,69,80,84} => {94}"	342	314	624
"{33,78,80,87} => {84}"	108	152	152
"{80,84,87,94} => {33}"	193	191	434
"{1,21,33,52,69,78,80,87} => {38}"	565	656	285
"{1,21,52,78,80,84,87,94} => {38}"	483	574	203
"{33,56,78,80,84} => {21}"	1194	1723	850
"{33,56,60,87} => {69}"	894	772	976
"{33,35,56,69,78,94} => {52}"	38	22	22
"{21,52,78,80,84,87,94} => {35}"	632	413	534
"{1,21,33,52,69,78,84} => {38}"	499	590	219
"{21,33,69,80,84,94} => {56}"	1324	1274	1383
"{35,56,69,78,80,84,94} => {87}"	1450	1394	1503
"{33,35,56,69,78,80,87} => {52}"	73	38	38
"{35,52,78,94} => {56}"	1537	1475	1584
"{1,33,56,78} => {38}"	2163	3382	988
"{21,35,78,80} => {52}"	677	458	579
"{33,35,56,78} => {52}"	137	76	76
"{35,52,56,80,84,87} => {78}"	1132	1105	1214
"{33,69,84} => {60}"	806	880	698
"{56,60,69,78,84} => {87}"	869	751	955
"{33,35,52,78,80,84,94} => {87}"	936	932	1041
"{21} => {69}"	1530	1468	1577
"{21,33,52,56,78,87} => {35}"	654	435	556
"{21,56,69,80,84,87} => {94}"	330	308	618
"{52,60,78,80,84} => {35}"	782	868	809
"{60,80,87} => {56}"	809	704	908
"{33,69,78,80,84} => {94}"	215	269	330
