Name	UserRank	AHPRank	SVMRank
"{33,35,52,69,78,80} => {94}"	481	617	850
"{33,69,80,84,87} => {21}"	1539	2251	1096
"{1,21,35,69,78,80} => {38}"	679	457	330
"{33,56,69,87,94} => {80}"	282	272	590
"{1,21,35,52,56,69,78,80,87} => {38}"	664	442	315
"{21,35,80,87,94} => {52}"	883	779	765
"{33,52,60,94} => {35}"	998	998	1038
"{80,87,94} => {33}"	313	294	612
"{69,78,94} => {56}"	359	330	648
"{35,56,69,80,84,87,94} => {52}"	123	75	75
"{78,84,87,94} => {80}"	250	250	568
"{21,78,94} => {33}"	1214	1212	1352
"{33,35,56,69,87,94} => {84}"	1263	1253	1393
"{21,33,35,56,80,84,87} => {52}"	886	782	768
"{33,56,69,80,87} => {52}"	1384	2243	1088
"{33,35,52,56,69,84} => {94}"	413	575	808
"{1,21,33,35,52,69,80,87,94} => {38}"	668	446	319
"{33,84,87} => {80}"	174	226	226
"{1,21,33,35,52,69,84,87,94} => {38}"	722	500	373
"{56,78,80,84,87} => {60}"	1075	1165	922
"{35,52,78,94} => {80}"	1466	1442	1582
"{52,78,80,84} => {35}"	59	39	39
"{56,60,69,80} => {78}"	1164	1131	1277
"{33,52,84} => {35}"	80	50	50
"{33,69,78,80,84} => {60}"	1142	1182	939
"{33,52,56,69,87} => {80}"	1286	1275	1415
"{1,33,69,78,80} => {38}"	2858	3726	1323
"{21,33,52,56,78,80,94} => {35}"	797	693	679
"{33,56,69,87,94} => {52}"	562	894	552
"{33,52,56,69} => {94}"	459	605	838
"{56,78,80,87,94} => {69}"	317	297	615
"{80,87,94} => {78}"	288	277	595
"{33,35,60,78,80,84} => {52}"	946	946	986
"{33,84} => {60}"	1072	1164	921
"{56,78,84,87,94} => {21}"	566	897	555
"{33,52,56,60,69,78,80} => {35}"	1007	1007	1047
"{33,35,56,60,69,78,80,84,87} => {52}"	1012	1012	1052
"{33,35,56,60,69,80,84} => {52}"	914	914	954
"{21,35,56,69,78,87,94} => {52}"	830	726	712
"{21,33,52,78,94} => {35}"	799	695	681
"{21,78,87,94} => {80}"	1333	1316	1456
"{33,52,56,60,80,84} => {35}"	1028	1028	1068
"{1,21,52,69,84,87} => {38}"	665	443	316
"{33,35,52,87,94} => {80}"	1363	1346	1486
"{21,35,69,80,84,87,94} => {52}"	783	679	665
"{33,78} => {21}"	2090	2315	1160
"{1,33,69,78,84,87} => {38}"	2833	3713	1310
"{33,56,84} => {35}"	1748	2275	1120
"{1,21,33,35,56,69,78,80,94} => {38}"	621	399	272
"{21,52,56,69,78} => {35}"	837	733	719
"{1,21,35,52,56,80,84,94} => {38}"	695	473	346
"{21,56,69,78,80} => {84}"	1276	1265	1405
"{33,60,87} => {84}"	1030	1030	1176
"{56,80} => {21}"	1949	2299	1144
"{52,78,80} => {94}"	547	648	881
"{21,33,69,80,84,87,94} => {56}"	1388	1368	1508
"{33,35,69,78,80,87} => {94}"	428	585	818
"{33,35,52} => {78}"	1238	1235	1375
"{60,84} => {69}"	1060	1053	1199
"{33,35,84,87} => {52}"	217	130	130
"{33,35,94} => {52}"	168	101	101
"{21,69,78,94} => {56}"	1465	1441	1581
