Name	UserRank	AHPRank	SVMRank
"{33,35,52,69,78,80} => {94}"	481	617	850
"{1,21,35,69,78,80} => {38}"	679	457	330
"{33,35,56,78,94} => {84}"	1585	1551	1691
"{33,56,69,87,94} => {80}"	282	272	590
"{1,21,35,52,56,69,78,80,87} => {38}"	664	442	315
"{21,35,80,87,94} => {52}"	883	779	765
"{33,52,60,94} => {35}"	998	998	1038
"{21,69,78,87,94} => {33}"	1559	1528	1668
"{80,87,94} => {33}"	313	294	612
"{69,78,94} => {56}"	359	330	648
"{35,56,69,80,84,87,94} => {52}"	123	75	75
"{78,84,87,94} => {80}"	250	250	568
"{21,78,94} => {33}"	1214	1212	1352
"{33,35,56,69,87,94} => {84}"	1263	1253	1393
"{21,33,35,56,80,84,87} => {52}"	886	782	768
"{33,35,52,56,69,84} => {94}"	413	575	808
"{1,21,33,35,52,69,80,87,94} => {38}"	668	446	319
"{33,84,87} => {80}"	174	226	226
"{1,21,33,35,52,69,84,87,94} => {38}"	722	500	373
"{56,78,80,84,87} => {60}"	1075	1165	922
"{35,52,78,94} => {80}"	1466	1442	1582
"{52,78,80,84} => {35}"	59	39	39
"{56,60,69,80} => {78}"	1164	1131	1277
"{33,52,84} => {35}"	80	50	50
"{33,69,78,80,84} => {60}"	1142	1182	939
"{33,52,56,69,87} => {80}"	1286	1275	1415
"{21,33,52,56,78,80,94} => {35}"	797	693	679
"{33,56,69,87,94} => {52}"	562	894	552
"{33,52,56,69} => {94}"	459	605	838
"{56,78,80,87,94} => {69}"	317	297	615
"{80,87,94} => {78}"	288	277	595
"{33,35,60,78,80,84} => {52}"	946	946	986
"{33,84} => {60}"	1072	1164	921
"{56,78,84,87,94} => {21}"	566	897	555
"{33,52,56,60,69,78,80} => {35}"	1007	1007	1047
"{33,35,56,60,69,78,80,84,87} => {52}"	1012	1012	1052
"{35,56,78,80} => {33}"	1551	1521	1661
"{33,35,56,60,69,80,84} => {52}"	914	914	954
"{21,35,56,69,78,87,94} => {52}"	830	726	712
"{21,33,52,78,94} => {35}"	799	695	681
"{21,78,87,94} => {80}"	1333	1316	1456
"{35,52,56,80,87} => {84}"	1615	1575	1715
"{33,52,56,60,80,84} => {35}"	1028	1028	1068
"{1,21,52,69,84,87} => {38}"	665	443	316
"{33,35,52,87,94} => {80}"	1363	1346	1486
"{21,35,69,80,84,87,94} => {52}"	783	679	665
"{1,21,33,35,56,69,78,80,94} => {38}"	621	399	272
"{21,78,94} => {87}"	1493	1469	1609
"{21,52,56,69,78} => {35}"	837	733	719
"{1,21,35,52,56,80,84,94} => {38}"	695	473	346
"{21,56,69,78,80} => {84}"	1276	1265	1405
"{33,60,87} => {84}"	1030	1030	1176
"{52,78,80} => {94}"	547	648	881
"{21,33,69,80,84,87,94} => {56}"	1388	1368	1508
"{33,35,69,78,80,87} => {94}"	428	585	818
"{33,35,52} => {78}"	1238	1235	1375
"{60,84} => {69}"	1060	1053	1199
"{33,35,84,87} => {52}"	217	130	130
"{33,35,94} => {52}"	168	101	101
"{21,69,78,94} => {56}"	1465	1441	1581
"{33,56,60,78} => {80}"	1151	1120	1266
"{52,56,69,84} => {33}"	1484	1460	1600
"{33,56,60,69,78,87} => {84}"	1103	1084	1230
"{35,52,56,78,87} => {94}"	539	643	876
"{35,84} => {94}"	403	570	803
"{33,35,60,80,84} => {52}"	1026	1026	1066
"{21,78,80,94} => {84}"	1241	1238	1378
"{35,60,69,80} => {52}"	1025	1025	1065
"{1,21,33,52,56,87} => {38}"	757	535	408
"{87,94} => {52}"	486	854	512
"{33,35,69,78,80} => {52}"	233	141	141
"{56,69,84,94} => {78}"	324	302	620
"{56,80,84,94} => {87}"	345	319	637
"{33,87,94} => {52}"	396	818	476
"{33,60,84,87} => {78}"	1071	1060	1206
"{56,78,84,94} => {69}"	373	341	659
"{35,56,60,69,84} => {52}"	950	950	990
"{60,69,84,87} => {33}"	1091	1074	1220
"{21,33,52,56,69,78} => {35}"	877	773	759
"{35,52,69,78,94} => {80}"	1217	1215	1355
"{33,52,56,69,80,84,87,94} => {78}"	1343	1326	1466
"{33,78,84,87} => {56}"	11	160	160
"{33,69,80,94} => {84}"	355	327	645
"{52,56,78,84,87} => {69}"	1483	1459	1599
"{69,78,84,94} => {87}"	370	338	656
"{33,35,52,56,87} => {94}"	487	620	853
"{56,69,80,84} => {87}"	70	181	181
"{1,21,33,35,80} => {38}"	678	456	329
"{52,60,84} => {35}"	1018	1018	1058
"{33,35,56,84,94} => {78}"	1625	1584	1724
"{33,69,84} => {78}"	85	188	188
"{33,56,80,87,94} => {52}"	524	875	533
"{52,56,80,87,94} => {33}"	1582	1548	1688
"{1,21,33,35,69,78,87,94} => {38}"	725	503	376
"{21,33,78,80,84,94} => {56}"	1527	1500	1640
"{33,56,80,84} => {60}"	1163	1185	942
"{33,35,52,56,78,80,87} => {94}"	533	640	873
"{33,69,78,80,84,87} => {94}"	323	366	453
"{78,84,94} => {87}"	363	332	650
"{52,60,87} => {35}"	995	995	1035
"{33,52,60,84,87} => {35}"	954	954	994
"{21,33,52,69,84,87} => {35}"	784	680	666
"{33,35,52,56,69,78,80,84,94} => {87}"	1407	1387	1527
"{35,52,56,87} => {80}"	1369	1352	1492
"{33,56,60,69,78,80} => {84}"	1123	1098	1244
"{35,56,69,78,84,94} => {80}"	1317	1303	1443
"{52,56,80} => {33}"	1335	1318	1458
"{33,52,56,84,87,94} => {78}"	1596	1559	1699
"{1,21,35,52,56,69,78,80,94} => {38}"	743	521	394
"{80,84} => {60}"	1034	1153	910
"{56,60,69,84} => {80}"	1131	1104	1250
"{1,21,33,52,56,69,84,87} => {38}"	763	541	414
"{35,52,78,87,94} => {33}"	1491	1467	1607
"{33,56,69,80,87} => {60}"	1066	1161	918
"{33,35,52,56,69,80,87} => {94}"	406	571	804
"{80,87} => {84}"	153	215	215
"{1,21,33,52,56,78,80,84,94} => {38}"	611	389	262
"{35,56,78} => {52}"	88	54	54
"{1,21,35,52,56,69,80,84,94} => {38}"	633	411	284
"{21,52,56,78,84} => {35}"	841	737	723
"{56,78,80,84} => {87}"	160	218	218
"{33,60,69,80} => {84}"	1088	1071	1217
"{33,69,80,87} => {94}"	252	346	433
"{56,69,84,94} => {21}"	496	860	518
"{33,56,69,78,80,87,94} => {35}"	409	824	482
"{21,56,69,78} => {94}"	500	625	858
"{1,21,33,35,52,69,80,84,94} => {38}"	737	515	388
"{1,21,33,35,84} => {38}"	753	531	404
"{33,35,56,60,80,84,94} => {52}"	1001	1001	1041
"{1,21,33,52,80,87} => {38}"	632	410	283
"{33,69,78,87,94} => {84}"	287	276	594
"{56,60,78,84,87} => {80}"	1039	1037	1183
"{33,52,78,84} => {35}"	230	139	139
"{33,35,78,80,87} => {52}"	109	67	67
"{21,52,56,78,84,87} => {35}"	843	739	725
"{35,52,56,78} => {94}"	402	569	802
"{1,21,33,52,69,80,94} => {38}"	645	423	296
"{35,69,78} => {94}"	523	636	869
"{21,33,52,78,80,84} => {35}"	818	714	700
"{21,56,69,80,84,87,94} => {33}"	1639	1596	1736
"{35,52,56,69,84,87} => {33}"	1521	1495	1635
"{35,69,84,94} => {80}"	1456	1432	1572
"{52,56,78,84,87} => {94}"	410	573	806
"{56,78,80,84} => {94}"	274	352	439
