"rules"	"support"	"confidence"	"coverage"	"lift"	"count"
"1"	"{28} => {30}"	0.803728070175439	1	0.803728070175439	1.20158102766798	733
"2"	"{30} => {28}"	0.803728070175439	0.965744400527009	0.832236842105263	1.20158102766798	733
"3"	"{28} => {32}"	0.803728070175439	1	0.803728070175439	1.18134715025907	733
"4"	"{32} => {28}"	0.803728070175439	0.949481865284974	0.846491228070175	1.18134715025907	733
"5"	"{28} => {34}"	0.803728070175439	1	0.803728070175439	1.17374517374517	733
"6"	"{34} => {28}"	0.803728070175439	0.943371943371943	0.851973684210526	1.17374517374517	733
"7"	"{28} => {48}"	0.802631578947368	0.998635743519782	0.803728070175439	1.12300345017268	732
"8"	"{48} => {28}"	0.802631578947368	0.902589395807645	0.889254385964912	1.12300345017268	732
"9"	"{28} => {0}"	0.803728070175439	1	0.803728070175439	1.12177121771218	733
"10"	"{0} => {28}"	0.803728070175439	0.90159901599016	0.891447368421053	1.12177121771218	733
"11"	"{12} => {14}"	0.805921052631579	1	0.805921052631579	1.21438082556591	735
"12"	"{14} => {12}"	0.805921052631579	0.978695073235686	0.823464912280702	1.21438082556591	735
"13"	"{12} => {16}"	0.805921052631579	1	0.805921052631579	1.20634920634921	735
"14"	"{16} => {12}"	0.805921052631579	0.972222222222222	0.828947368421053	1.20634920634921	735
"15"	"{12} => {18}"	0.805921052631579	1	0.805921052631579	1.17981888745149	735
"16"	"{18} => {12}"	0.805921052631579	0.950840879689521	0.847587719298246	1.17981888745149	735
"17"	"{12} => {20}"	0.805921052631579	1	0.805921052631579	1.15151515151515	735
"18"	"{20} => {12}"	0.805921052631579	0.928030303030303	0.868421052631579	1.15151515151515	735
"19"	"{12} => {22}"	0.805921052631579	1	0.805921052631579	1.13011152416357	735
"20"	"{22} => {12}"	0.805921052631579	0.910780669144981	0.884868421052632	1.13011152416357	735
"21"	"{12} => {48}"	0.804824561403509	0.998639455782313	0.805921052631579	1.1230076247515	734
"22"	"{48} => {12}"	0.804824561403509	0.905055487053021	0.889254385964912	1.1230076247515	734
"23"	"{12} => {0}"	0.805921052631579	1	0.805921052631579	1.12177121771218	735
"24"	"{0} => {12}"	0.805921052631579	0.904059040590406	0.891447368421053	1.12177121771218	735
"25"	"{14} => {16}"	0.823464912280702	1	0.823464912280702	1.20634920634921	751
"26"	"{16} => {14}"	0.823464912280702	0.993386243386243	0.828947368421053	1.20634920634921	751
"27"	"{14} => {18}"	0.823464912280702	1	0.823464912280702	1.17981888745149	751
"28"	"{18} => {14}"	0.823464912280702	0.971539456662354	0.847587719298246	1.17981888745149	751
"29"	"{14} => {20}"	0.823464912280702	1	0.823464912280702	1.15151515151515	751
